Weather and Climate Billion-Dollar Disasters to affect the U.S. from 2000-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Southeast Tornadoes and Severe Weather (March 2021)",Severe Storm,20210324,20210325,1995.8,1677,6
"Eastern Severe Weather (March 2021)",Severe Storm,20210327,20210328,1601.9,1346,8
"Texas Hail Storms (April 2021)",Severe Storm,20210412,20210415,1755.3,1475,0
"Texas and Oklahoma Severe Weather (April 2021)",Severe Storm,20210427,20210428,3747.4,3149,0
"Southern Tornadoes and Southeast Severe Weather (May 2021)",Severe Storm,20210502,20210504,1479.1,1264,4
"Louisiana Flooding (May 2021)",Flooding,20210517,20210518,1569.6,1319,5
"Ohio Valley Hail Storms (June 2021)",Severe Storm,20210617,20210618,1980.1,1707,0
"Central Severe Storms (June 2021)",Severe Storm,20210624,20210626,1453.6,1253,0
"Tropical Storm Elsa (July 2021)",Tropical Cyclone,20210707,20210709,1407.1,1213,1
"Central Severe Storms (July 2021)",Severe Storm,20210708,20210711,1252.8,1080,0
"North Central Severe Weather (August 2021)",Severe Storm,20210810,20210813,1489.5,1284,2
"Tropical Storm Fred (August 2021)",Tropical Cyclone,20210816,20210818,1481.3,1277,7
"Hurricane Ida (August 2021)",Tropical Cyclone,20210829,20210901,84608.1,73572,96
"Hurricane Nicholas (September 2021)",Tropical Cyclone,20210914,20210918,1168.5,1016,0
